Original_Index,Split_Set,Weekly_Sales
138,Validation,1437059.26
139,Train,1670785.97
140,Train,1573072.81
141,Validation,1508068.77
142,Validation,1493659.74
143,Validation,2136989.46
144,Test,2137809.5
145,Validation,2124451.54
146,Validation,1865097.27
147,Validation,1991013.13
148,Validation,1990483.78
149,Test,1946070.88
150,Validation,1750197.81
151,Test,2066187.72
152,Validation,1954689.21
153,Validation,1874957.94
154,Train,1821990.93
155,Validation,1802450.29
156,Test,2042581.71
157,Test,1880752.36
158,Validation,1896937.1
159,Validation,1957113.89
160,Validation,2102539.93
161,Train,2025538.76
162,Validation,2001636.96
163,Validation,1939927.09
164,Train,2003940.64
165,Validation,1880902.62
166,Validation,1845879.79
167,Test,1781717.71
168,Test,1804246.16
169,Validation,1991909.98
170,Validation,1895601.05
171,Validation,1964335.23
172,Test,1863840.49
173,Validation,1904608.09
174,Validation,1839128.83
175,Validation,1793903.6
176,Validation,1724557.22
177,Test,1827440.43
178,Validation,1849921.44
179,Test,1794355.49
180,Validation,1737947.64
181,Test,1802755.11
182,Validation,1939061.41
183,Validation,1916812.74
184,Train,1956739.17
185,Test,2658725.29
186,Validation,2015781.27
187,Validation,2378726.55
188,Validation,2609166.75
189,Validation,3436007.68
190,Validation,1750434.55
191,Validation,1758050.79
192,Train,1744193.58
193,Train,1751384.9
194,Validation,1695371.68
195,Validation,1929346.23
196,Test,2168041.61
197,Validation,2080884.82
198,Test,1833511.08
199,Test,1981607.78
200,Validation,1879107.31
201,Validation,1902557.66
202,Validation,1766162.05
203,Validation,1800171.36
204,Validation,1847552.61
205,Validation,1856467.84
206,Validation,1886339.6
207,Validation,1745545.28
208,Test,1837743.6
209,Validation,1838513.07
210,Validation,1688281.86
211,Validation,1797732.56
212,Validation,1933756.21
213,Validation,1929153.16
214,Validation,1953771.99
215,Train,1790925.8
216,Train,1866243.0
217,Test,1853161.99
218,Train,1785187.29
219,Validation,1743816.41
220,Train,1680693.06
221,Test,1876704.26
222,Train,1812768.26
223,Validation,1844094.59
224,Validation,1821139.91
225,Validation,1809119.7
226,Validation,1748000.65
227,Test,1691439.52
228,Test,1669299.78
229,Validation,1650394.44
230,Test,1837553.43
231,Test,1743882.19
232,Validation,1834680.25
233,Test,1769296.25
234,Train,1959707.9
235,Validation,1920725.15
236,Validation,1902762.5
237,Validation,2614202.3
238,Validation,1954952.0
239,Test,2290549.32
240,Test,2432736.52
241,Validation,3224369.8
242,Validation,1874226.52
243,Validation,1799520.14
244,Validation,1744725.48
245,Test,1711769.11
246,Validation,1660906.14
247,Test,1935299.94
248,Test,2103322.68
249,Validation,2196688.46
250,Train,1861802.7
251,Validation,1952555.66
252,Validation,1937628.26
253,Train,1976082.13
254,Test,1790439.16
255,Validation,1857480.84
256,Validation,2129035.91
257,Test,1935869.1
258,Validation,1847344.45
259,Test,1764133.09
260,Train,1923957.09
261,Validation,1917520.99
262,Validation,2000940.67
263,Test,1912791.09
264,Validation,1910092.37
265,Test,2010216.49
266,Validation,1962924.3
267,Validation,1887733.21
268,Validation,1881046.12
269,Train,2041507.4
270,Validation,1830075.13
271,Validation,1819666.46
272,Validation,1757923.88
273,Validation,1946104.64
274,Validation,1866719.96
275,Validation,1928016.01
276,Validation,1876788.15
277,Train,1947083.3
278,Train,1898777.07
279,Test,1814806.63
280,Validation,1829415.67
281,Validation,1746470.56
282,Validation,1998321.04
283,Validation,1900745.13
284,Validation,1847990.41
285,Validation,1834458.35
286,Train,461622.22
287,Validation,420728.96
288,Validation,421642.19
289,Train,407204.86
290,Test,415202.04
291,Validation,384200.69
292,Validation,375328.59
293,Test,359949.27
294,Validation,423294.4
295,Validation,415870.28
296,Test,354993.26
297,Test,339976.65
298,Validation,361248.39
299,Validation,399323.86
300,Train,384357.94
301,Validation,343763.17
302,Validation,350089.23
303,Test,396968.8
304,Validation,355017.09
305,Train,364076.85
306,Validation,357346.48
307,Validation,381151.72
308,Test,349214.18
309,Validation,352728.78
310,Validation,352864.49
311,Validation,347955.05
312,Validation,402635.76
313,Validation,339597.38
314,Validation,351728.21
315,Test,362134.09
316,Train,366473.97
317,Validation,352260.97
318,Test,363064.64
319,Test,355626.87
320,Validation,358784.1
321,Test,395107.35
322,Validation,345584.39
323,Test,348895.98
324,Test,348591.74
325,Test,423175.56
326,Validation,386635.03
327,Validation,372545.32
328,Validation,565567.84
329,Validation,476420.77
330,Validation,467642.03
331,Validation,498159.39
332,Validation,605990.41
333,Test,382677.76
334,Train,378241.34
335,Validation,381061.1
336,Validation,350876.7
337,Validation,364866.24
338,Train,438516.53
339,Validation,430526.21
340,Validation,432782.1
341,Validation,397211.19
342,Validation,437084.51
343,Train,404753.3
344,Validation,392109.51
345,Validation,380683.67
346,Test,374556.08
347,Train,384075.31
348,Validation,366250.69
349,Test,391860.04
350,Validation,367405.4
351,Test,413042.12
352,Validation,386312.68
353,Validation,364603.13
354,Test,369350.6
355,Validation,394507.84
356,Validation,391638.75
357,Validation,403423.34
358,Validation,385520.71
359,Train,368962.72
360,Validation,395146.24
361,Validation,373454.33
362,Validation,360617.37
363,Validation,345381.29
364,Train,409981.25
365,Train,380376.85
366,Train,379716.91
367,Test,366367.55
368,Validation,375988.69
369,Validation,377347.49
370,Validation,375629.51
371,Test,365248.94
372,Validation,368477.93
373,Test,403342.4
374,Train,368282.57
375,Validation,394976.36
376,Test,389540.62
377,Validation,459443.22
378,Test,407764.25
379,Validation,398838.97
380,Test,556925.19
381,Test,472511.32
382,Validation,468772.8
383,Validation,510747.62
384,Validation,551221.21
385,Validation,410553.88
386,Validation,398178.21
387,Train,367438.62
388,Validation,365818.61
389,Validation,349518.1
390,Validation,424960.66
391,Validation,473292.47
392,Validation,475591.08
393,Test,418925.47
394,Train,469752.56
395,Train,445162.05
396,Validation,411775.8
397,Validation,413907.25
398,Validation,407488.84
399,Validation,503232.13
400,Validation,420789.74
401,Test,434822.13
402,Validation,394616.11
403,Train,439913.57
404,Validation,431985.36
405,Validation,418112.76
406,Train,413701.29
407,Train,432268.53
408,Test,446336.8
409,Validation,442074.79
410,Test,419497.95
411,Validation,422965.33
412,Validation,411206.5
413,Train,416913.1
414,Test,432424.85
415,Train,389427.9
416,Validation,419990.29
417,Validation,391811.6
418,Test,394918.83
419,Validation,412449.67
420,Test,408838.73
421,Validation,408229.73
422,Test,407589.16
423,Validation,414392.09
424,Validation,389813.02
425,Test,443557.65
426,Test,410804.39
427,Validation,424513.08
428,Validation,405432.7
429,Train,2135143.87
430,Validation,2188307.39
431,Train,2049860.26
432,Test,1925728.84
433,Validation,1971057.44
434,Validation,1894324.09
435,Test,1897429.36
436,Train,1762539.3
437,Test,1979247.12
438,Validation,1818452.72
439,Test,1851519.69
440,Validation,1802677.9
441,Validation,1817273.28
442,Train,2000626.14
443,Validation,1875597.28
444,Validation,1903752.6
445,Test,1857533.7
446,Validation,1903290.58
447,Test,1870619.23
448,Train,1929736.35
449,Validation,1846651.95
450,Validation,1881337.21
451,Validation,1812208.22
452,Validation,1898427.66
453,Test,1848426.78
454,Validation,1796637.61
455,Train,1907638.58
456,Train,2007050.75
457,Validation,1997181.09
458,Train,1848403.92
459,Validation,1935857.58
460,Train,1865820.81
461,Validation,1899959.61
462,Validation,1810684.68
463,Validation,1842821.02
464,Validation,1951494.85
465,Test,1867345.09
466,Train,1927610.06
467,Validation,1933333.0
468,Test,2013115.79
469,Test,1999794.26
470,Train,2097809.4
471,Validation,2789469.45
472,Test,2102530.17
473,Test,2302504.86
474,Validation,2740057.14
475,Train,3526713.39
476,Test,1794868.74
477,Validation,1862476.27
478,Validation,1865502.46
479,Train,1886393.94
480,Validation,1814240.85
481,Validation,2119086.04
482,Validation,2187847.29
483,Train,2316495.56
484,Train,2078094.69
485,Validation,2103455.75
486,Test,2039818.41
487,Train,2116475.38
488,Validation,1944164.32
489,Validation,1900246.47
490,Validation,2074953.46
491,Test,1960587.76
492,Train,2220600.76
493,Train,1878167.44
494,Validation,2063682.76
495,Validation,2002362.37
496,Test,2015563.48
497,Validation,1986597.95
498,Validation,2065377.15
499,Train,2073951.38
500,Train,2141210.62
501,Test,2008344.92
502,Validation,2051533.53
503,Test,2066541.86
504,Validation,2049046.95
505,Validation,2036231.39
506,Test,1989674.07
507,Validation,2160057.39
508,Validation,2105668.74
509,Train,2232892.1
510,Validation,1988490.21
511,Test,2078420.31
512,Validation,2093139.01
513,Validation,2075577.33
514,Train,2031406.41
515,Validation,1929486.63
516,Validation,2166737.65
517,Validation,2074548.85
518,Train,2207742.13
519,Validation,2151659.59
520,Validation,2281217.31
521,Train,2203028.96
522,Train,2243946.59
523,Validation,3004702.33
524,Train,2180999.26
525,Train,2508955.24
526,Validation,2771397.17
527,Validation,3676388.98
528,Train,2007105.86
529,Validation,2047766.07
530,Test,1941676.61
531,Validation,2005097.76
532,Validation,1928720.51
533,Train,2173373.91
534,Test,2374660.64
535,Test,2427640.17
536,Validation,2226662.17
537,Validation,2206319.9
538,Test,2202450.81
539,Validation,2214967.44
540,Validation,2091592.54
541,Validation,2089381.77
542,Train,2470206.13
543,Test,2105301.39
544,Test,2144336.89
545,Validation,2064065.66
546,Validation,2196968.33
547,Validation,2127661.17
548,Test,2207214.81
549,Test,2154137.67
550,Validation,2179360.94
551,Validation,2245257.18
552,Validation,2234190.93
553,Test,2197299.65
554,Validation,2128362.92
555,Test,2224499.28
556,Validation,2100252.61
557,Validation,2175563.69
558,Train,2048613.65
559,Validation,2174514.13
560,Train,2193367.69
561,Test,2283540.3
562,Train,2125241.68
563,Validation,2081181.35
564,Validation,2125104.72
565,Test,2117854.6
566,Validation,2119438.53
567,Validation,2027620.23
568,Train,2209835.43
569,Train,2133026.07
570,Validation,2097266.85
571,Train,2149594.46
572,Validation,317173.1
573,Validation,311825.7
574,Validation,303447.57
575,Validation,270281.63
576,Test,288855.71
577,Test,297293.59
578,Validation,281706.41
579,Validation,273282.97
580,Train,331406.0
581,Validation,328020.49
582,Train,306858.69
583,Validation,288839.73
584,Test,298697.84
585,Test,333522.6
586,Test,296673.77
587,Validation,301615.49
588,Train,310013.11
589,Test,337825.89
590,Validation,296641.91
591,Train,313795.6
592,Validation,295257.3
593,Validation,305993.27
594,Validation,291808.87
595,Validation,280701.7
596,Validation,274742.63
597,Validation,268929.03
598,Test,303043.02
599,Test,286477.35
600,Train,287205.38
601,Validation,288519.75
602,Validation,323798.0
603,Validation,306533.08
604,Test,282558.65
605,Validation,293131.58
606,Validation,283178.12
607,Train,290494.85
608,Validation,280681.2
609,Validation,284988.27
610,Validation,278031.81
611,Test,325310.3
612,Validation,301827.36
613,Validation,297384.81
614,Validation,488362.61
615,Validation,344490.88
616,Validation,352811.53
617,Validation,367801.19
618,Validation,466010.25
619,Train,298180.18
620,Test,286347.26
621,Validation,260636.71
622,Test,275313.34
623,Validation,279088.39
624,Test,329613.2
625,Test,311590.54
626,Test,356622.61
627,Train,294659.5
628,Train,329033.66
629,Validation,293098.1
630,Train,312177.67
631,Validation,294732.5
632,Validation,314316.55
633,Validation,307333.62
634,Validation,307913.58
635,Validation,328415.44
636,Validation,307291.56
637,Validation,322904.68
638,Validation,290930.01
639,Validation,299614.33
640,Validation,297149.69
641,Test,329183.92
642,Train,304984.14
643,Validation,304811.82
644,Validation,302881.64
645,Validation,327093.89
646,Validation,310804.93
647,Validation,283248.62
648,Validation,292539.73
649,Validation,275142.17
650,Validation,317738.56
651,Train,289886.16
652,Test,303643.84
653,Train,310338.17
654,Test,315645.53
655,Test,321110.22
656,Validation,278529.71
657,Validation,291024.98
658,Validation,292315.38
659,Train,309111.47
660,Train,286117.72
661,Validation,306069.18
662,Validation,307035.11
663,Validation,353652.23
664,Validation,311906.7
665,Train,307944.37
666,Train,507900.07
667,Validation,376225.61
668,Validation,367433.77
669,Train,379530.3
670,Validation,458562.24
671,Validation,349624.88
672,Test,312078.71
673,Train,291454.52
674,Validation,287523.98
675,Validation,295974.22
676,Test,333948.0
677,Validation,349239.88
678,Validation,356427.98
679,Validation,312220.47
680,Validation,359206.21
681,Test,347295.6
682,Validation,339392.54
683,Test,321299.99
684,Validation,331318.73
685,Train,402985.7
686,Validation,351832.03
687,Validation,330063.06
688,Validation,324839.74
689,Validation,360932.69
690,Train,333870.52
691,Test,336189.66
692,Validation,341994.48
693,Validation,359867.8
694,Train,341704.59
695,Validation,327383.64
696,Test,325041.68
697,Validation,329658.1
698,Validation,341214.43
699,Validation,316203.64
700,Train,321205.12
701,Test,306827.36
702,Train,324195.17
703,Validation,306759.7
704,Train,314014.18
705,Test,320831.36
706,Test,344642.01
707,Train,350648.91
708,Train,299800.67
709,Validation,307306.76
710,Test,310141.68
711,Validation,343048.29
712,Test,325345.41
713,Train,313358.15
714,Validation,319550.77
715,Validation,1652635.1
716,Validation,1606283.86
717,Train,1567138.07
718,Validation,1432953.21
719,Validation,1601348.82
720,Train,1558621.36
721,Train,1693058.91
722,Train,1472033.38
723,Validation,1770333.9
724,Validation,1667181.82
725,Validation,1519846.36
726,Validation,1540435.99
727,Validation,1498080.16
728,Validation,1619920.04
729,Validation,1524059.4
730,Test,1531938.44
731,Validation,1644470.66
732,Validation,1857380.09
733,Validation,1685652.35
734,Validation,1677248.24
735,Validation,1640681.88
736,Test,1759777.25
737,Validation,1690317.99
738,Validation,1560120.8
739,Validation,1585240.92
740,Validation,1532308.78
741,Validation,1633241.59
742,Test,1547654.98
743,Test,1539930.5
744,Validation,1450766.12
745,Validation,1510925.32
746,Test,1424225.44
747,Test,1308537.75
748,Validation,1275591.84
749,Validation,1328468.89
750,Train,1360317.9
751,Test,1344580.92
752,Test,1332716.53
753,Validation,1385323.7
754,Train,1505442.15
755,Test,1495536.46
756,Test,1518841.45
757,Train,2267452.4
758,Train,1677067.24
759,Validation,1834737.58
760,Validation,2090268.95
761,Validation,2727575.18
762,Validation,1464050.02
763,Test,1350441.68
764,Test,1306194.55
765,Validation,1261253.18
766,Validation,1287034.7
767,Train,1514999.17
768,Validation,1486920.17
769,Validation,1572117.54
770,Train,1422600.43
771,Validation,1502617.99
772,Validation,1494497.39
773,Validation,1685375.47
774,Validation,1438465.81
775,Train,1459276.77
776,Validation,1534594.0
777,Validation,1448797.02
778,Validation,1639358.93
779,Validation,1479249.9
780,Validation,1504651.57
781,Validation,1453185.65
782,Validation,1382783.83
783,Test,1523979.11
784,Train,1705506.29
785,Validation,1598643.65
786,Validation,1622150.33
787,Test,1543365.9
788,Train,1694551.15
789,Validation,1709373.62
790,Validation,1526801.24
791,Validation,1526506.08
792,Train,1483991.05
793,Train,1601584.57
794,Test,1484995.38
795,Validation,1493544.04
796,Validation,1420405.41
797,Validation,1481618.74
798,Train,1483574.38
799,Test,1351407.79
800,Test,1336044.75
801,Validation,1307551.92
802,Train,1481739.2
803,Validation,1386520.99
804,Train,1417922.37
805,Test,1419445.12
806,Validation,1523420.38
807,Test,1536176.54
808,Test,1524390.07
809,Validation,2249811.55
810,Test,1688531.34
811,Test,1903385.14
812,Test,2034695.56
813,Train,2644633.02
814,Validation,1598080.52
815,Validation,1395339.71
816,Validation,1344243.17
817,Validation,1326255.7
818,Train,1315610.66
819,Validation,1496305.78
820,Train,1620603.92
821,Validation,1632616.09
822,Validation,1465187.71
823,Validation,1550385.65
824,Validation,1569304.4
825,Train,1748010.29
826,Train,1495143.62
827,Validation,1508933.26
828,Test,1840131.19
829,Validation,1616394.45
830,Validation,1456073.24
831,Validation,1456221.1
832,Validation,1543461.12
833,Validation,1517075.67
834,Test,1513635.64
835,Train,1603793.42
836,Validation,1681121.38
837,Train,1696619.52
838,Validation,1642247.48
839,Validation,1618272.25
840,Train,1648863.46
841,Train,1876359.39
842,Train,1588142.26
843,Train,1574361.97
844,Train,1513229.16
845,Validation,1627274.93
846,Validation,1588380.73
847,Validation,1543049.52
848,Train,1501095.49
849,Validation,1577439.81
850,Validation,1608077.01
851,Validation,1375166.86
852,Validation,1425603.65
853,Validation,1369131.46
854,Validation,1518177.71
855,Validation,1459396.84
856,Train,1436883.99
857,Validation,1431426.34
858,Train,496725.44
859,Train,524104.92
860,Validation,506760.54
861,Validation,496083.24
862,Validation,491419.55
863,Train,480452.1
864,Test,574450.23
865,Test,514731.6
866,Validation,561145.14
867,Validation,484263.25
868,Validation,406228.19
869,Validation,404751.25
870,Validation,373655.61
871,Validation,395453.83
872,Validation,372673.61
873,Train,395195.65
874,Validation,442734.55
875,Validation,509183.22
876,Validation,498580.87
877,Test,481144.09
878,Validation,553714.87
879,Test,575570.77
880,Validation,593462.34
881,Test,557166.35
882,Validation,570231.21
883,Validation,603547.16
884,Train,643854.17
885,Train,598185.4
886,Train,582353.17
887,Validation,554309.24
888,Train,532765.05
889,Test,535769.32
890,Validation,489408.53
891,Validation,488008.83
892,Train,448998.73
893,Test,480239.88
894,Validation,463370.48
895,Train,472450.81
896,Validation,465493.15
897,Validation,480512.44
898,Train,507584.29
899,Validation,482528.36
900,Validation,835189.26
901,Validation,552811.62
902,Validation,599730.07
903,Validation,716388.81
904,Validation,1045124.88
905,Validation,729572.08
906,Train,661163.94
907,Test,547384.9
908,Validation,521539.46
909,Validation,513372.17
910,Validation,558027.77
911,Validation,559903.13
912,Validation,572387.47
913,Validation,546690.84
914,Validation,551378.39
915,Validation,558963.83
916,Train,635014.69
917,Validation,559061.58
918,Validation,513409.67
919,Validation,500552.16
920,Validation,423380.14
921,Train,466594.89
922,Validation,410429.73
923,Validation,407012.47
924,Validation,414094.05
925,Validation,424670.98
926,Test,457216.87
927,Validation,542295.37
928,Validation,621099.95
929,Validation,610991.35
930,Validation,640043.97
931,Train,704344.21
932,Test,761793.94
933,Validation,642748.21
934,Validation,688043.96
935,Train,653382.62
936,Validation,695392.84
937,Validation,670670.46
938,Validation,645156.21
939,Train,629994.47
940,Train,592355.24
941,Train,613135.23
942,Validation,558981.45
943,Validation,536144.81
944,Validation,488880.26
945,Train,525866.36
946,Validation,501959.19
947,Test,558691.43
948,Train,527339.52
949,Validation,564536.01
950,Train,556015.59
951,Validation,539826.56
952,Validation,949075.87
953,Train,591907.88
954,Validation,653845.45
955,Train,720242.19
956,Validation,1059715.27
957,Test,815915.52
958,Validation,713117.66
959,Train,593875.46
960,Test,578002.85
961,Validation,541037.98
962,Validation,580453.32
963,Validation,563460.77
964,Test,620908.18
965,Validation,603041.14
966,Train,551058.13
967,Train,579166.5
968,Train,669205.73
969,Test,615997.29
970,Validation,583322.2
971,Validation,621425.98
972,Validation,517420.23
973,Validation,457340.06
974,Train,467827.75
975,Validation,465198.89
976,Validation,460397.41
977,Test,468428.3
978,Train,532739.77
979,Validation,598495.02
980,Train,642963.75
981,Validation,666942.02
982,Test,687344.68
983,Validation,704335.41
984,Validation,805642.61
985,Validation,694150.89
986,Validation,686345.69
987,Validation,686365.4
988,Train,680954.81
989,Train,675926.3
990,Validation,642450.4
991,Validation,609099.37
992,Validation,586467.16
993,Train,597876.55
994,Test,541120.2
995,Validation,530842.25
996,Test,525545.76
997,Validation,505830.56
998,Validation,503463.93
999,Train,516424.83
1000,Validation,495543.28
1001,Validation,1004137.09
1002,Test,994801.4
1003,Validation,963960.37
1004,Train,847592.11
1005,Test,881503.95
1006,Train,860336.16
1007,Train,839911.0
1008,Train,772539.12
1009,Validation,914500.91
1010,Test,916033.92
1011,Validation,882917.12
1012,Validation,850440.26
1013,Validation,778672.64
1014,Validation,916820.96
1015,Validation,873337.84
1016,Train,818333.21
1017,Validation,868041.56
1018,Test,958225.41
1019,Validation,914835.86
1020,Validation,869922.56
1021,Validation,814919.11
1022,Test,852333.75
1023,Validation,845289.77
1024,Train,848630.57
1025,Train,785515.88
1026,Validation,787295.09
1027,Test,893399.77
1028,Validation,867919.21
1029,Validation,870676.44
1030,Train,888816.78
1031,Validation,899036.47
1032,Test,831425.2
1033,Validation,836707.85
1034,Test,773725.08
1035,Validation,804105.49
1036,Validation,870349.86
1037,Validation,826546.96
1038,Test,836419.14
1039,Test,830756.76
1040,Train,927266.34
1041,Validation,911538.98
1042,Test,885608.04
1043,Validation,1261693.16
1044,Test,952766.93
1045,Validation,1069061.63
1046,Test,1220579.55
1047,Test,1511641.09
1048,Validation,773586.49
1049,Test,873065.23
1050,Validation,809646.66
1051,Validation,822668.23
1052,Validation,782256.66
1053,Validation,944594.78
1054,Train,996147.39
1055,Validation,1065108.64
1056,Test,917317.15
1057,Test,935266.43
1058,Train,900387.29
1059,Train,898289.14
1060,Validation,827968.36
1061,Validation,878762.3
1062,Train,949825.83
1063,Validation,908278.74
1064,Validation,937473.13
1065,Validation,855014.77
1066,Validation,941457.34
1067,Train,895763.41
1068,Train,836049.89
1069,Train,857939.41
1070,Validation,929222.16
1071,Validation,897309.41
1072,Train,922048.41
1073,Test,864881.24
1074,Test,883683.35
1075,Test,861965.12
1076,Validation,849925.37
1077,Validation,829902.42
1078,Train,807082.19
1079,Test,892393.77
1080,Train,856796.1
1081,Validation,895066.5
1082,Validation,912542.82
1083,Validation,891387.14
1084,Test,848358.09
1085,Train,870971.82
1086,Train,806444.29
1087,Validation,809049.37
1088,Validation,929976.55
1089,Validation,863188.26
1090,Test,905984.49
1091,Validation,876712.31
1092,Test,947815.05
1093,Validation,917088.48
1094,Validation,897032.19
1095,Validation,1235163.86
1096,Validation,986601.46
1097,Test,1051922.95
1098,Validation,1118163.94
1099,Validation,1462254.05
1100,Validation,858572.22
1101,Test,872113.23
1102,Validation,817661.76
1103,Test,813954.82
1104,Validation,778178.53
1105,Validation,927610.69
1106,Validation,1021400.42
1107,Validation,1096232.89
1108,Test,928537.54
1109,Validation,952264.91
1110,Validation,960115.56
1111,Train,921178.39
1112,Validation,874223.25
1113,Validation,905935.29
1114,Validation,1046816.59
1115,Train,909989.45
1116,Validation,872288.46
1117,Validation,879448.25
1118,Train,937232.09
1119,Test,920128.89
1120,Validation,913922.01
1121,Validation,895157.44
1122,Train,921161.2
1123,Train,928820.0
1124,Validation,916918.7
1125,Train,899449.65
1126,Validation,878298.22
1127,Validation,936205.5
1128,Validation,890488.01
1129,Test,888834.07
1130,Validation,838227.52
1131,Validation,897076.73
1132,Validation,930745.69
1133,Train,896613.19
1134,Validation,936373.65
1135,Validation,976137.73
1136,Validation,932160.37
1137,Validation,883569.38
1138,Validation,857796.45
1139,Validation,884724.41
1140,Validation,976436.02
1141,Train,927511.99
1142,Train,900309.75
1143,Validation,891671.44
1144,Test,549505.55
1145,Train,552677.48
1146,Validation,511327.9
1147,Validation,473773.27
1148,Validation,507297.88
1149,Test,494145.8
1150,Validation,485744.61
1151,Validation,484946.56
1152,Validation,545206.32
1153,Test,529384.31
1154,Validation,485764.32
1155,Train,488683.57
1156,Validation,491723.42
1157,Train,526128.61
1158,Test,492792.8
1159,Validation,506274.94
1160,Train,558143.53
1161,Test,586061.46
1162,Validation,522715.68
1163,Test,513073.87
1164,Validation,509263.28
1165,Validation,528832.54
1166,Validation,485389.15
1167,Train,474030.51
1168,Validation,462676.5
1169,Validation,468675.19
1170,Validation,522815.45
1171,Train,481897.98
1172,Validation,499325.38
1173,Validation,506789.66
1174,Test,511049.06
1175,Test,484835.2
1176,Test,463448.59
1177,Validation,452905.22
1178,Validation,495692.19
1179,Train,505069.21
1180,Validation,454769.68
1181,Test,466322.76
1182,Validation,508801.61
1183,Test,517869.97
1184,Validation,520846.68
1185,Train,519823.3
1186,Test,768070.53
1187,Train,578164.82
1188,Test,618121.82
1189,Validation,685243.2
1190,Validation,873347.55
1191,Train,459770.85
1192,Test,490981.78
1193,Test,458086.69
1194,Train,454021.69
1195,Test,463561.48
1196,Validation,544612.28
1197,Test,555279.02
1198,Validation,610985.56
1199,Test,513107.2
1200,Validation,542016.18
1201,Validation,517783.5
1202,Train,515226.11
1203,Validation,497488.4
1204,Validation,520962.14
1205,Validation,561625.92
1206,Train,528420.28
1207,Validation,549502.11
1208,Validation,532226.2
1209,Validation,545251.1
1210,Validation,539126.0
1211,Validation,518266.9
1212,Test,553834.04
1213,Validation,587004.29
1214,Validation,550076.32
1215,Test,558671.14
1216,Validation,538745.93
1217,Train,537064.03
1218,Train,535983.13
1219,Test,512834.04
1220,Test,491449.94
1221,Test,471449.98
1222,Validation,554879.67
1223,Test,520284.79
1224,Validation,540819.44
1225,Test,542663.53
1226,Validation,544643.33
1227,Validation,528784.86
1228,Validation,500274.03
1229,Validation,506743.78
1230,Validation,508567.04
1231,Validation,553836.98
1232,Validation,529515.66
1233,Validation,557075.21
1234,Validation,548527.49
1235,Test,597855.07
1236,Validation,594574.12
1237,Train,542414.27
1238,Validation,814753.5
