Name,YearJoined,YearResigned,ResignDate,ResignQuarter
394,2019,2022,2022-01-01,2022Q1
395,2017,,,
396,2019,,,
397,2014,,,
399,2020,,,
401,2014,2019,2019-01-01,2019Q1
403,2018,,,
404,2002,,,
405,2022,2021,2021-01-01,2021Q1
406,2011,,,
407,2021,,,
408,2018,,,
410,2000,,,
411,2022,,,
412,2014,,,
416,2014,,,
417,2004,,,
419,2013,,,
420,2009,,,
421,2012,,,
422,2017,,,
423,2017,,,
424,2020,,,
425,1998,,,
426,2020,,,
428,2012,,,
429,2001,,,
430,2014,,,
431,2015,,,
433,2014,2020,2020-01-01,2020Q1
434,2018,,,
436,2009,,,
437,2017,,,
438,2015,,,
439,2015,,,
440,2019,2019,2019-01-01,2019Q1
441,2012,,,
442,2012,,,
444,2001,,,
445,2021,2020,2020-01-01,2020Q1
446,2015,,,
447,2019,,,
448,2013,,,
449,2017,,,
450,2018,,,
451,2021,,,
452,2012,,,
453,2018,,,
454,2015,2019,2019-01-01,2019Q1
455,2019,,,
456,2012,,,
458,2014,,,
460,2016,,,
461,2011,,,
462,2011,,,
463,2015,,,
464,2006,,,
465,2018,,,
466,2017,,,
467,2022,,,
468,2021,,,
469,2018,,,
470,2019,,,
471,2014,,,
473,2022,,,
474,2015,,,
475,2020,,,
476,2014,,,
477,2021,,,
478,2019,2020,2020-01-01,2020Q1
479,2021,,,
481,2009,,,
482,2019,,,
483,2015,,,
484,2019,,,
485,2021,2020,2020-01-01,2020Q1
486,2017,,,
487,2021,,,
488,2014,2020,2020-01-01,2020Q1
491,2018,,,
492,2016,2020,2020-01-01,2020Q1
493,2020,,,
494,2021,2022,2022-01-01,2022Q1
495,2019,,,
496,2021,,,
497,2017,,,
498,2015,,,
499,2017,,,
500,2015,,,
501,2020,,,
502,2017,2019,2019-01-01,2019Q1
505,2017,,,
507,2017,,,
508,2021,,,
510,2016,2021,2021-01-01,2021Q1
511,2020,,,
513,2012,,,
514,2021,2021,2021-01-01,2021Q1
515,2004,,,
516,2017,,,
517,2017,,,
518,2021,,,
520,1997,,,
521,2021,,,
522,2018,,,
523,2019,,,
524,2009,,,
525,2019,,,
526,2017,,,
527,2017,,,
529,2009,,,
530,2018,,,
531,2001,,,
532,2015,,,
533,2017,,,
534,2012,,,
536,2012,,,
538,2020,2022,2022-01-01,2022Q1
543,2017,,,
544,2020,,,
546,2017,,,
547,2017,,,
548,2017,,,
549,1993,,,
550,2012,,,
551,2016,,,
554,2017,2019,2019-01-01,2019Q1
555,2020,2021,2021-01-01,2021Q1
556,2021,,,
558,2002,,,
560,2019,,,
562,2017,,,
564,2012,,,
565,2020,2020,2020-01-01,2020Q1
566,2021,2022,2022-01-01,2022Q1
567,2013,,,
568,2021,,,
569,1995,,,
571,2011,,,
573,2004,,,
574,2017,,,
575,2019,,,
577,2017,,,
578,2021,,,
579,2015,,,
580,2019,,,
581,2009,,,
582,2015,2021,2021-01-01,2021Q1
584,2018,2019,2019-01-01,2019Q1
585,2019,,,
586,2014,,,
587,2021,2022,2022-01-01,2022Q1
590,2019,2019,2019-01-01,2019Q1
591,2020,,,
592,2012,,,
593,2020,2020,2020-01-01,2020Q1
595,2013,,,
597,2012,,,
599,2008,,,
600,2011,,,
601,2002,,,
602,2014,,,
604,2016,,,
605,2012,,,
606,2014,,,
608,2015,2022,2022-01-01,2022Q1
611,2019,,,
612,2016,,,
613,2017,,,
614,2022,2019,2019-01-01,2019Q1
615,2021,,,
616,2014,,,
618,2022,,,
620,2017,,,
621,2012,,,
622,2021,2021,2021-01-01,2021Q1
623,2016,,,
624,2020,,,
625,2004,,,
626,2013,,,
630,2012,,,
631,2018,2020,2020-01-01,2020Q1
632,2020,,,
634,2021,,,
635,2016,,,
638,1991,,,
639,2016,,,
641,2017,,,
643,2021,,,
644,1990,,,
645,2015,,,
647,2016,2020,2020-01-01,2020Q1
648,2021,2019,2019-01-01,2019Q1
649,2016,,,
650,2019,2021,2021-01-01,2021Q1
652,2019,,,
653,2015,,,
655,2017,,,
656,2019,,,
657,2021,,,
659,2012,,,
661,2021,,,
662,2022,,,
663,2014,,,
664,2019,,,
665,2020,,,
666,2014,,,
667,2018,2019,2019-01-01,2019Q1
669,2019,,,
671,2020,,,
675,2020,,,
677,2017,,,
679,2016,,,
680,2021,,,
682,2008,,,
683,2012,,,
684,2021,2022,2022-01-01,2022Q1
686,2019,,,
689,2012,,,
690,2016,,,
691,2005,,,
692,2009,,,
698,2013,,,
699,2019,,,
700,2018,,,
701,2021,2019,2019-01-01,2019Q1
702,2012,2022,2022-01-01,2022Q1
704,2021,,,
705,2019,,,
707,2019,,,
709,2015,,,
710,2012,,,
712,2020,,,
714,2016,,,
715,2021,,,
716,2002,,,
717,2014,,,
720,2020,2019,2019-01-01,2019Q1
721,2002,,,
722,2012,,,
723,2018,2019,2019-01-01,2019Q1
724,2013,,,
725,2013,,,
727,2015,,,
728,2015,,,
729,2004,,,
730,2017,,,
731,2001,,,
732,2020,,,
733,2013,,,
734,2000,,,
738,2020,,,
741,2015,2022,2022-01-01,2022Q1
742,2014,,,
743,2021,,,
744,2017,,,
746,2000,,,
747,2014,,,
749,2021,,,
752,2020,2022,2022-01-01,2022Q1
754,2020,,,
757,2017,,,
758,2018,,,
760,2014,,,
762,2012,,,
763,2018,,,
764,2015,,,
766,2020,,,
769,2020,,,
771,2021,,,
772,2012,,,
773,2021,,,
775,2022,,,
776,1988,,,
780,2012,2022,2022-01-01,2022Q1
781,2016,,,
783,2014,,,
784,2020,,,
785,2017,2022,2022-01-01,2022Q1
786,2016,,,
787,2017,2022,2022-01-01,2022Q1
789,2012,,,
791,2018,,,
792,2020,,,
793,2014,,,
796,2018,2021,2021-01-01,2021Q1
797,2018,,,
799,2017,,,
800,2018,,,
802,2017,,,
803,2007,,,
804,2016,,,
805,2019,,,
806,2020,,,
807,2014,,,
808,2019,,,
809,1998,,,
811,2022,2019,2019-01-01,2019Q1
812,2021,,,
813,2017,,,
815,2018,,,
816,2021,2021,2021-01-01,2021Q1
817,2009,,,
819,2019,2020,2020-01-01,2020Q1
820,1996,,,
823,2013,,,
824,2012,,,
825,1991,2019,2019-01-01,2019Q1
826,2020,,,
827,2018,,,
828,2020,2022,2022-01-01,2022Q1
829,2017,,,
830,2008,,,
832,2021,,,
833,2022,,,
834,2021,,,
836,2013,,,
837,2018,,,
838,2017,,,
840,2013,2021,2021-01-01,2021Q1
842,2013,2020,2020-01-01,2020Q1
843,2018,,,
844,2013,,,
845,2014,,,
846,2014,,,
847,2019,,,
848,2014,2020,2020-01-01,2020Q1
850,2022,,,
851,2002,,,
852,2017,,,
854,2018,,,
855,2013,,,
856,2016,,,
857,2004,,,
859,2017,,,
861,2017,,,
862,2017,,,
864,2017,,,
865,2017,,,
867,2013,,,
868,2021,,,
869,2017,,,
872,2020,,,
874,2019,,,
875,2020,,,
878,2017,,,
879,2017,,,
880,2005,,,
881,2012,2019,2019-01-01,2019Q1
882,2019,,,
885,2017,,,
887,2018,,,
888,2017,,,
889,2012,,,
893,2020,,,
894,2017,,,
895,2016,,,
896,2019,2020,2020-01-01,2020Q1
897,2020,,,
899,2009,,,
900,2017,,,
901,2010,,,
902,2017,,,
903,2015,,,
904,2012,,,
905,1991,,,
909,2017,,,
910,2018,,,
911,2021,2020,2020-01-01,2020Q1
912,2018,,,
913,2014,,,
916,2018,,,
918,2021,2020,2020-01-01,2020Q1
920,2021,,,
922,2020,2022,2022-01-01,2022Q1
923,2021,2019,2019-01-01,2019Q1
924,2006,,,
925,2019,,,
926,2019,2020,2020-01-01,2020Q1
927,2015,2019,2019-01-01,2019Q1
930,2020,,,
932,2020,2022,2022-01-01,2022Q1
933,2021,,,
934,2021,,,
936,2017,,,
939,2019,,,
940,2016,,,
941,2015,,,
942,2012,,,
944,1996,,,
945,2022,,,
947,2013,,,
949,2016,,,
950,2007,,,
951,2019,,,
952,2021,2020,2020-01-01,2020Q1
954,2021,,,
956,2015,,,
957,2004,,,
958,2011,,,
959,2021,2022,2022-01-01,2022Q1
960,2021,2019,2019-01-01,2019Q1
961,2013,,,
964,2021,,,
966,2014,,,
967,2006,2020,2020-01-01,2020Q1
969,2017,,,
970,2008,2019,2019-01-01,2019Q1
972,2013,,,
974,2019,,,
975,2017,,,
976,2013,,,
977,2021,2022,2022-01-01,2022Q1
981,2005,,,
982,2014,,,
983,2017,,,
984,2012,,,
985,2014,,,
986,2021,2021,2021-01-01,2021Q1
987,2003,,,
990,2015,,,
991,2019,2022,2022-01-01,2022Q1
992,2012,,,
994,2022,2020,2020-01-01,2020Q1
995,2019,,,
996,2017,,,
997,2017,,,
998,2016,,,
999,2004,,,
1001,2020,,,
1002,2013,,,
1003,2013,,,
1004,2017,2022,2022-01-01,2022Q1
1005,2010,,,
1006,2020,,,
1007,2014,,,
1009,2018,,,
1010,2018,2019,2019-01-01,2019Q1
1011,2018,,,
1012,2022,,,
1013,2012,,,
1014,2006,,,
1015,2014,,,
1016,2021,2020,2020-01-01,2020Q1
1017,2019,2019,2019-01-01,2019Q1
1018,2014,,,
1019,2018,,,
1022,2020,,,
1024,2007,,,
1025,2020,,,
1026,2001,,,
1027,2019,,,
1028,2019,,,
1029,2021,,,
1030,2021,,,
1032,2017,,,
1033,2021,2019,2019-01-01,2019Q1
1034,2014,,,
1035,2001,,,
1036,2021,,,
1037,2020,2019,2019-01-01,2019Q1
1038,1990,2020,2020-01-01,2020Q1
1039,2010,,,
1040,2004,,,
1042,2005,2020,2020-01-01,2020Q1
1043,2001,,,
1044,2020,,,
1045,2013,,,
1046,2014,,,
1047,2007,,,
1048,2016,,,
1049,2016,,,
1050,2007,,,
1052,2021,2019,2019-01-01,2019Q1
1053,2019,2021,2021-01-01,2021Q1
1055,2021,,,
1056,2021,,,
1060,2020,,,
1061,2014,,,
1062,2018,,,
1066,2015,,,
1068,2017,,,
1069,2020,,,
1070,2013,,,
1071,2017,,,
1073,2008,,,
1074,2013,,,
1076,2021,,,
1077,2020,2019,2019-01-01,2019Q1
1079,2021,2020,2020-01-01,2020Q1
1080,2006,,,
1081,2012,2019,2019-01-01,2019Q1
1082,2012,2019,2019-01-01,2019Q1
1083,2017,,,
1084,2016,,,
1085,2012,,,
1088,2003,,,
1092,2011,,,
1094,2019,,,
1096,2019,,,
1097,2014,,,
1098,2002,2020,2020-01-01,2020Q1
1099,2019,,,
1100,2014,2020,2020-01-01,2020Q1
1101,2009,2019,2019-01-01,2019Q1
1102,2018,,,
1103,2016,,,
1105,2021,,,
1106,2015,2022,2022-01-01,2022Q1
1107,2021,2020,2020-01-01,2020Q1
1108,2020,2022,2022-01-01,2022Q1
1109,2000,,,
1111,2021,2020,2020-01-01,2020Q1
1113,2022,2021,2021-01-01,2021Q1
1114,2019,,,
1115,2022,,,
1116,2017,,,
1117,2007,,,
1118,2014,,,
1119,2014,,,
1120,2015,,,
1121,2013,,,
1124,2010,,,
1125,2021,,,
1126,2014,,,
1127,2004,2020,2020-01-01,2020Q1
1128,2002,,,
1131,2020,,,
1132,2017,,,
1133,2011,,,
1135,2020,,,
1136,2017,,,
1137,2017,,,
1138,2013,,,
1140,2019,,,
1143,2015,,,
1148,2021,,,
1150,2012,,,
1152,2015,,,
1154,2019,,,
1156,2022,2022,2022-01-01,2022Q1
1157,2017,2021,2021-01-01,2021Q1
1158,2021,,,
1160,2020,2022,2022-01-01,2022Q1
1161,2016,,,
1162,2018,,,
1163,2016,,,
1164,2017,,,
1165,2011,2019,2019-01-01,2019Q1
1166,2004,,,
1167,2001,2021,2021-01-01,2021Q1
1171,2016,,,
1172,2014,,,
1173,2018,,,
1175,2021,2022,2022-01-01,2022Q1
1177,2014,,,
1179,2012,,,
1180,2021,,,
1182,2015,,,
1184,2009,,,
1185,2020,,,
1188,2018,2020,2020-01-01,2020Q1
1190,2021,,,
1191,2017,,,
1192,2012,,,
1193,2021,,,
1195,2019,,,
1196,2008,,,
1198,2020,,,
1200,2016,2022,2022-01-01,2022Q1
1201,2015,,,
1202,2017,,,
1203,2022,2022,2022-01-01,2022Q1
1204,1996,,,
1206,2022,,,
1207,2017,,,
1210,2021,2021,2021-01-01,2021Q1
1211,2018,,,
1212,2022,,,
1215,2020,,,
1216,2016,,,
1217,2018,,,
1218,2015,,,
1219,2021,2020,2020-01-01,2020Q1
1220,2012,,,
1221,2015,,,
1224,2012,,,
1225,2002,,,
1226,2020,,,
1228,2016,,,
1231,2018,,,
1233,2011,,,
1234,2020,,,
1235,2014,,,
1237,2015,,,
1238,2008,,,
1239,2017,,,
1240,2018,,,
1241,2011,,,
1242,2021,,,
1243,2009,,,
1244,2013,,,
1245,2017,,,
1246,2012,,,
1248,2021,2021,2021-01-01,2021Q1
1249,2019,,,
1250,2012,,,
1251,2016,,,
1252,2012,,,
1254,2016,,,
1255,2014,,,
1256,2021,,,
1257,2011,,,
1258,2021,,,
1259,2017,,,
1260,2016,,,
1263,2021,,,
1264,2015,,,
1265,2021,,,
1267,2000,,,
1268,2013,,,
1269,2021,,,
1270,2021,,,
1273,2021,2022,2022-01-01,2022Q1
1275,2014,,,
1277,1998,2021,2021-01-01,2021Q1
1278,1989,,,
1279,2020,2022,2022-01-01,2022Q1
1280,2011,,,
1281,2019,,,
1282,1993,,,
1283,2013,,,
1285,2011,,,
1286,2018,,,
1288,1997,,,
1289,2012,,,
1291,2019,,,
1292,2021,,,
1293,2001,,,
1294,2006,,,
1295,2012,2021,2021-01-01,2021Q1
1296,2020,,,
1297,2015,,,
1298,2014,,,
1299,2015,2020,2020-01-01,2020Q1
1301,2019,,,
1303,2020,,,
1304,2012,,,
1306,2022,,,
1307,2003,,,
1308,2020,,,
1309,2012,2022,2022-01-01,2022Q1
1310,2017,2022,2022-01-01,2022Q1
1311,2013,,,
1312,2015,,,
1314,2015,,,
1315,2013,,,
1317,2019,,,
1318,2017,2021,2021-01-01,2021Q1
1319,2014,2022,2022-01-01,2022Q1
1321,2013,,,
1322,2014,,,
1324,2012,,,
1329,2003,,,
1331,2019,2021,2021-01-01,2021Q1
1333,2019,2020,2020-01-01,2020Q1
1334,2002,,,
1336,2003,,,
1338,2015,,,
1340,2018,,,
1344,2013,,,
1346,2013,,,
1349,2013,,,
1350,2013,,,
1352,1989,,,
1355,2015,,,
1356,2012,,,
1358,2019,,,
1360,2012,2019,2019-01-01,2019Q1
1361,2018,,,
1362,2007,,,
1363,2012,,,
1364,2021,,,
1367,2017,,,
1368,2022,,,
1369,2013,,,
1371,2016,,,
1372,2003,2019,2019-01-01,2019Q1
1373,2003,,,
1374,2017,,,
1375,2010,,,
1377,2014,,,
1379,2021,2019,2019-01-01,2019Q1
1380,2018,2021,2021-01-01,2021Q1
1382,2018,,,
1383,2008,,,
1387,2017,,,
1389,2012,2021,2021-01-01,2021Q1
1390,2017,,,
1391,2018,,,
1392,2016,,,
1394,2016,,,
1395,2017,,,
1396,2019,,,
1397,2016,,,
1399,2019,,,
1401,2017,,,
1402,2002,,,
1403,2016,,,
1405,2014,2019,2019-01-01,2019Q1
1407,2018,,,
1408,2002,,,
1409,2017,,,
1411,2019,,,
1412,2020,,,
1415,2019,,,
1417,2015,,,
1419,2012,,,
1420,2018,2020,2020-01-01,2020Q1
1421,2014,2019,2019-01-01,2019Q1
1422,2002,,,
1423,2013,,,
1424,2015,,,
1425,2017,,,
1427,2021,2020,2020-01-01,2020Q1
1428,2019,,,
1430,2019,,,
1431,2018,,,
1433,2021,2019,2019-01-01,2019Q1
1434,2017,,,
1435,2012,,,
1436,2019,,,
1438,2016,,,
1439,2019,2020,2020-01-01,2020Q1
1440,2016,,,
1441,2019,,,
1443,2002,,,
1445,2017,,,
1446,2018,,,
1447,2017,,,
1448,2018,,,
1449,2014,,,
1453,2009,,,
1457,2015,2022,2022-01-01,2022Q1
1458,2021,2022,2022-01-01,2022Q1
1459,2012,2020,2020-01-01,2020Q1
1460,2015,,,
1461,2019,,,
1464,2020,2022,2022-01-01,2022Q1
1465,2019,,,
1466,2020,,,
1467,2020,2020,2020-01-01,2020Q1
1468,2013,,,
1469,2017,,,
1471,2017,,,
1472,2013,,,
1473,2019,,,
1474,2019,,,
1475,2017,,,
1477,2018,,,
1478,2009,,,
1479,2020,,,
1480,2010,,,
1481,2021,,,
1482,2021,,,
1483,2010,,,
1484,2014,,,
1485,2008,,,
1486,2019,2021,2021-01-01,2021Q1
1487,2017,2021,2021-01-01,2021Q1
1489,2007,2022,2022-01-01,2022Q1
1492,2021,,,
1494,2022,2021,2021-01-01,2021Q1
1495,2021,,,
1496,2020,,,
1497,2012,,,
1499,2017,,,
1501,2019,,,
1502,2017,,,
1503,2017,,,
1504,2022,2021,2021-01-01,2021Q1
1506,2021,,,
1507,2018,,,
1509,2019,,,
1513,2019,,,
1514,2014,,,
1515,2022,,,
1516,2017,,,
1520,2008,,,
1522,2013,2019,2019-01-01,2019Q1
1523,2002,,,
1525,2020,,,
1527,2009,,,
1529,2011,,,
1533,2018,,,
1534,2017,2020,2020-01-01,2020Q1
1535,2012,,,
1537,2015,2020,2020-01-01,2020Q1
1539,1990,,,
1541,2011,,,
1542,2021,,,
1543,2012,,,
1544,2015,,,
1545,2017,,,
1546,2017,,,
1547,2002,,,
1548,2014,,,
1549,2007,,,
1550,2001,,,
1551,2021,,,
1552,2020,,,
1553,2012,,,
1554,2017,,,
1555,2015,,,
1556,2019,,,
1557,2014,,,
1558,2021,,,
1560,2020,,,
1562,2012,2021,2021-01-01,2021Q1
1563,2016,,,
1564,2019,,,
1568,2018,,,
1569,2021,2021,2021-01-01,2021Q1
1572,1989,2019,2019-01-01,2019Q1
1573,2017,2021,2021-01-01,2021Q1
1574,2016,,,
1576,2014,,,
1577,2021,,,
1578,1986,,,
1580,2020,,,
1581,2021,,,
1582,2013,,,
1583,2019,,,
1585,2021,,,
1586,2012,,,
1587,2017,,,
1588,2015,,,
1590,2016,,,
1591,2021,,,
1592,2020,,,
1594,2019,,,
1595,2021,,,
1596,2012,,,
1597,2014,,,
1598,2017,,,
1599,2016,,,
1601,2021,,,
1602,1996,,,
1604,2021,2022,2022-01-01,2022Q1
1605,2018,,,
1606,1992,,,
1607,2019,,,
1608,2000,,,
1609,2016,,,
1611,2012,,,
1612,2012,,,
1613,2017,,,
1614,2019,,,
1615,2013,,,
1617,2013,,,
1618,2015,,,
1619,2015,,,
1621,2006,,,
1622,2017,,,
1623,2020,,,
1624,2022,2020,2020-01-01,2020Q1
1625,2017,,,
1627,2012,,,
1628,2004,,,
1630,2008,,,
1631,2018,,,
1633,2013,,,
1635,2012,,,
1638,2017,,,
1639,2009,2022,2022-01-01,2022Q1
1640,2014,,,
1641,2018,,,
1642,2012,,,
1644,2020,,,
1645,2020,2020,2020-01-01,2020Q1
1646,2016,,,
1647,2019,,,
1648,2018,,,
1649,2018,2019,2019-01-01,2019Q1
1650,2017,,,
1651,2019,,,
1653,2015,,,
1654,2017,,,
1655,2018,,,
1656,2008,,,
1657,2020,,,
1658,2011,,,
1659,2018,,,
1661,2007,,,
1662,2019,,,
1664,2017,,,
1665,2012,,,
1666,2008,,,
1667,2011,2019,2019-01-01,2019Q1
1668,2009,,,
1669,2012,,,
1670,2016,,,
1671,2013,,,
1673,2012,,,
1674,2020,,,
1675,2018,,,
1676,2019,,,
1677,2014,,,
1678,2020,,,
1680,2020,,,
1681,2016,,,
1682,2019,,,
1683,2020,,,
1684,2017,2021,2021-01-01,2021Q1
1687,2022,,,
1689,2018,,,
1691,2013,2020,2020-01-01,2020Q1
1692,2021,2020,2020-01-01,2020Q1
1693,2015,,,
1694,2018,,,
1696,2007,,,
1697,2021,,,
1698,2008,,,
1700,2016,,,
1701,2012,,,
1702,2019,2022,2022-01-01,2022Q1
1703,2014,,,
1704,2017,,,
1706,2012,,,
1707,2017,,,
1708,2012,,,
1709,2017,,,
1710,2009,,,
1712,1999,,,
1714,2021,2022,2022-01-01,2022Q1
1716,1999,2022,2022-01-01,2022Q1
1718,2019,,,
1719,2001,,,
1720,2017,,,
1721,2017,,,
1722,2019,,,
1724,2021,,,
1725,2016,,,
1727,2012,,,
1728,2015,,,
1729,2012,,,
1731,2021,,,
1732,2012,,,
1733,2020,2021,2021-01-01,2021Q1
1734,2022,2021,2021-01-01,2021Q1
1735,2019,,,
1736,2017,,,
1737,2013,,,
1739,2018,,,
1740,2001,,,
1744,2017,,,
1745,2013,,,
1746,2020,,,
1747,2018,2021,2021-01-01,2021Q1
1749,2017,,,
1751,2016,,,
1752,2020,2020,2020-01-01,2020Q1
1753,2019,,,
1754,2015,,,
1755,2017,,,
1756,2011,,,
1757,2017,,,
1758,2022,2020,2020-01-01,2020Q1
1760,2016,,,
1761,2021,2020,2020-01-01,2020Q1
1762,2021,,,
1763,2015,,,
1764,2015,,,
1766,2021,,,
1767,2021,2020,2020-01-01,2020Q1
1768,2017,,,
1770,2021,,,
1771,2013,,,
1772,2017,,,
1774,2007,,,
1775,2019,,,
1778,2013,,,
1779,2020,,,
1780,2021,2022,2022-01-01,2022Q1
1782,2017,,,
1783,2021,2021,2021-01-01,2021Q1
1784,2010,,,
1786,2020,,,
1787,2017,,,
1789,2020,,,
1790,2010,,,
1792,2017,2022,2022-01-01,2022Q1
1794,2012,,,
1797,2012,2019,2019-01-01,2019Q1
1798,2012,,,
1799,2017,,,
1800,2018,,,
1801,2020,,,
1802,2018,,,
1803,2022,,,
1804,2015,,,
1805,2011,,,
1807,2015,2022,2022-01-01,2022Q1
1809,2012,2019,2019-01-01,2019Q1
1812,2020,,,
1813,2019,,,
1814,2019,,,
1815,2000,,,
1816,2015,,,
1818,2017,2022,2022-01-01,2022Q1
1821,2013,2022,2022-01-01,2022Q1
1822,2017,,,
1823,2012,,,
1824,2006,,,
1826,2017,,,
1827,2000,,,
1829,2015,,,
1830,2015,,,
1833,2019,,,
1834,2019,,,
1835,2018,,,
1836,2017,,,
1837,2020,,,
1839,2022,,,
1842,2021,2019,2019-01-01,2019Q1
